YIELD1,YIELD2,YIELD3,YIELD4
7.99,6.83,2.71,4.5
9.5,4.22,2.27,3.49
9.68,4.71,7.51,8.75
9.63,4.79,1.94,5.08
8.62,6.49,3.85,4.75
8.03,5.39,2.03,5.48
7.86,8.02,2.95,6.49
9.78,6.64,3.77,4.76
10.59,9.04,2.13,7.2
11.04,4.75,2.96,5.18
8.78,5.97,4.57,7.39
7.05,5.03,1.61,3.35
8.57,3.9,1.36,3.4
10.48,5.92,3.19,4.73
8.33,4.26,2.57,5.57
11.83,6.36,8.94,8.26
10.33,3.8,1.37,4.75
7.4,7.44,3.29,8.01
12.15,7.52,3.95,7.03
10.05,7.51,3.18,5.1
10.06,5.03,2.1,5.04
14.03,5.21,2.04,4.93
8.27,4.71,1.89,5.99
7.62,7.58,4.69,8.29
9.37,6.11,3.56,6.74
6.99,6.91,1.2,7.78
12.4,5.4,0.85,5.36
10.31,7.53,4.7,9.28
8.92,4.48,4.71,6.81
10.34,4.06,7.68,7.66
9.99,3.92,4.57,6.77
9.48,6.37,2.5,6.25
9.82,4.44,1.71,4.45
7.48,7.11,3.51,4.85
8.74,5.04,2.36,7.94
8.61,5.29,1.57,4.97
11.42,5.2,5.0,7.83
9.45,8.21,6.11,6.17
9.3,4.91,2.03,6.7
8.12,4.6,3.39,5.73
8.75,4.03,1.75,6.61
6.63,4.42,7.22,7.71
9.93,4.16,3.39,5.92
12.85,9.74,3.09,8.51
10.66,4.14,4.78,8.04
5.41,4.37,1.68,3.65
8.54,3.86,1.5,3.43
9.65,5.12,4.46,4.23
10.36,4.32,2.15,4.45
8.06,4.46,2.8,6.76
12.78,4.2,2.66,7.21
9.1,5.69,4.73,8.4
11.31,5.76,4.95,6.34
11.11,3.01,6.1,6.55
10.29,4.79,0.65,4.91
10.58,5.93,4.35,4.99
10.06,4.8,3.51,6.53
12.3,5.4,2.82,7.7
9.15,5.07,3.21,4.48
7.92,4.45,1.07,4.65
6.9,7.42,3.12,5.86
7.75,7.0,6.28,5.87
7.75,4.05,0.0,3.28
11.09,5.82,3.67,7.62
10.77,5.75,3.39,6.53
13.61,5.35,0.81,4.7
11.55,6.0,5.6,7.07
9.19,4.87,2.55,5.67
9.2,4.86,2.18,6.0
8.06,4.63,3.71,8.78
10.6,4.05,1.46,6.1
11.34,3.66,3.89,8.51
7.5,5.29,3.11,4.42
5.57,3.78,3.45,4.84
9.06,3.86,0.59,4.91
11.33,4.25,4.66,4.02
12.23,5.35,2.78,4.17
5.21,3.88,4.3,8.1
11.18,6.61,8.82,9.3
6.34,4.26,5.17,5.03
9.25,4.55,7.12,7.26
9.78,5.28,5.74,5.53
11.2,6.34,3.75,5.35
7.6,4.09,5.46,4.06
9.13,3.26,2.67,8.35
9.44,4.89,2.42,3.61
10.35,5.19,4.16,5.74
5.47,5.22,3.34,3.22
11.08,5.13,4.11,7.81
9.47,8.4,0.62,6.58
5.73,5.08,4.71,3.88
9.56,5.54,3.68,7.35
8.36,4.22,5.17,7.51
10.93,7.25,5.27,7.89
11.9,5.78,4.08,7.35
6.21,6.19,6.76,8.06
5.8,4.24,4.69,6.47
7.65,5.09,4.01,9.36
8.02,5.02,2.17,7.33
7.68,4.64,2.01,3.93
12.0,4.29,0.0,4.56
8.11,4.48,6.59,5.27
8.51,4.24,2.84,5.11
11.67,7.63,4.37,8.77
9.88,7.08,1.2,5.5
8.33,3.58,4.86,5.26
9.48,5.16,3.14,5.37
10.2,4.47,3.11,8.4
6.3,6.07,0.71,4.61
11.82,8.58,6.78,9.36
8.3,5.17,2.67,4.22
12.13,6.71,2.32,3.37
8.87,4.46,5.35,5.92
10.95,6.36,3.41,7.42
9.38,6.17,3.09,3.56
11.13,7.33,3.62,6.17
10.63,4.29,5.43,4.48
7.24,7.78,4.02,4.92
8.89,4.5,3.7,5.98
9.58,6.63,3.27,7.54
10.49,5.28,1.16,5.52
8.22,5.4,0.71,4.13
8.6,5.84,2.43,4.99
10.19,5.94,1.63,6.16
9.1,4.0,4.59,8.28
9.37,4.32,0.08,4.78
10.12,4.55,1.09,4.1
12.55,5.44,5.1,5.62
